[2025-01-11 00:44:24] Packet captured: Src IP: 192.168.1.72, Dst IP: 35.207.214.21, Length: 142
[2025-01-11 00:44:25] Packet captured: Src IP: 35.207.214.21, Dst IP: 192.168.1.72, Length: 88
[2025-01-11 00:44:26] Packet captured: Src IP: 35.207.214.21, Dst IP: 192.168.1.72, Length: 122
[2025-01-11 00:44:27] Packet captured: Src IP: 192.168.1.72, Dst IP: 35.207.214.21, Length: 151
[2025-01-11 00:44:28] Packet captured: Src IP: 192.168.1.72, Dst IP: 35.207.214.21, Length: 77
[2025-01-11 00:44:29] Packet captured: Src IP: 35.207.214.21, Dst IP: 192.168.1.72, Length: 84
[2025-01-11 00:44:30] Packet captured: Src IP: 192.168.1.72, Dst IP: 54.192.142.123, Length: 66
[2025-01-11 00:44:31] Packet captured: Src IP: 192.168.1.72, Dst IP: 54.192.142.123, Length: 66
[2025-01-11 00:44:32] Packet captured: Src IP: 54.192.142.123, Dst IP: 192.168.1.72, Length: 66
[2025-01-11 00:44:33] Packet captured: Src IP: 54.192.142.123, Dst IP: 192.168.1.72, Length: 66
[2025-01-11 00:44:34] Packet captured: Src IP: 192.168.1.72, Dst IP: 18.161.111.100, Length: 66
